2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 00:25:16,642	INFO	272	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 00:31:32,542	INFO	272	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 00:31:32,543	INFO	272	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 00:32:14,756	INFO	275	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 00:32:14,756	INFO	275	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 00:32:14,756	INFO	275	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 00:32:14,756	INFO	275	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 00:32:14,756	INFO	275	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 00:32:14,756	INFO	275	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 00:32:14,757	INFO	275	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 00:32:14,757	INFO	275	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 00:38:55,215	INFO	275	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 00:38:55,215	INFO	275	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 00:39:40,753	INFO	280	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 00:39:40,753	INFO	280	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 00:39:40,754	INFO	280	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 00:39:40,754	INFO	280	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.12 00:39:40,754	INFO	280	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.12 00:39:40,754	INFO	280	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.12 00:39:40,754	INFO	280	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.12 00:39:40,754	INFO	280	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.12 00:56:32,513	INFO	280	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.12 00:56:32,514	INFO	280	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.12 00:57:40,238	INFO	290	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.12 00:57:40,238	INFO	290	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.12 00:57:40,238	INFO	290	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.12 00:57:40,238	INFO	290	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
